phase,scheduler,n_ues,spatial,traffic,run_id,cell_throughput_mbps,jain_index,mean_delay_ms,plr,n_ues_active,n_ues_total
phase2_group_a,mlwdf,20,uniform,homogeneous,15,13.757,0.791537,3.1971,0.003416,20,20
phase2_group_a,mlwdf,20,uniform,homogeneous,16,15.1627,0.728938,3.1751,0.002807,20,20
phase2_group_a,mlwdf,20,uniform,homogeneous,17,12.1816,0.642079,3.1941,0.005106,20,20
phase2_group_a,mlwdf,20,uniform,homogeneous,18,12.5154,0.83649,3.1735,0.003528,20,20
phase2_group_a,mlwdf,20,uniform,homogeneous,19,14.7889,0.70586,3.2029,0.004211,20,20
phase2_group_a,mlwdf,20,uniform,homogeneous,20,15.1399,0.733644,3.2202,0.003279,20,20
phase2_group_a,mlwdf,40,uniform,homogeneous,1,14.393,0.724855,3.1898,0.004472,40,40
phase2_group_a,mlwdf,40,uniform,homogeneous,2,16.0417,0.75333,3.2048,0.00288,40,40
phase2_group_a,mlwdf,40,uniform,homogeneous,3,18.6951,0.762992,3.2287,0.002595,40,40
phase2_group_a,mlwdf,40,uniform,homogeneous,4,12.3993,0.78563,3.1721,0.004313,40,40
phase2_group_a,mlwdf,40,uniform,homogeneous,5,12.7149,0.712299,3.1799,0.004011,40,40
phase2_group_a,mlwdf,40,uniform,homogeneous,6,15.6384,0.724052,3.2058,0.003849,40,40
phase2_group_a,mlwdf,40,uniform,homogeneous,7,14.4079,0.754711,3.176,0.003254,40,40
phase2_group_a,mlwdf,40,uniform,homogeneous,8,14.2387,0.729884,3.1765,0.003558,40,40
phase2_group_a,mlwdf,40,uniform,homogeneous,9,14.9802,0.715592,3.2067,0.0037,40,40
phase2_group_a,mlwdf,40,uniform,homogeneous,10,16.5169,0.719272,3.2219,0.003495,40,40
phase2_group_a,mlwdf,40,uniform,homogeneous,11,13.4937,0.726418,3.1912,0.004104,40,40
phase2_group_a,mlwdf,40,uniform,homogeneous,12,11.5668,0.80766,3.1581,0.00423,40,40
phase2_group_a,mlwdf,40,uniform,homogeneous,13,13.5043,0.746237,3.1845,0.004048,40,40
phase2_group_a,mlwdf,40,uniform,homogeneous,14,14.5148,0.712381,3.1941,0.003355,40,40
phase2_group_a,mlwdf,40,uniform,homogeneous,15,15.1203,0.752149,3.1829,0.002734,40,40
phase2_group_a,mlwdf,40,uniform,homogeneous,16,13.9176,0.704632,3.1762,0.004083,40,40
phase2_group_a,mlwdf,40,uniform,homogeneous,17,13.6601,0.756007,3.1699,0.00362,40,40
phase2_group_a,mlwdf,40,uniform,homogeneous,18,15.1627,0.72017,3.1951,0.003365,40,40
phase2_group_a,mlwdf,40,uniform,homogeneous,19,14.3397,0.721928,3.1766,0.00405,40,40
phase2_group_a,mlwdf,40,uniform,homogeneous,20,13.4194,0.749755,3.1895,0.003705,40,40
phase2_group_a,mt,10,clustered,homogeneous,1,11.2516,0.280157,3.7936,0.000132,4,10
phase2_group_a,mt,10,clustered,homogeneous,2,11.163,0.211368,3.7532,0.0,5,10
phase2_group_a,mt,10,clustered,homogeneous,3,10.8543,0.151828,3.9996,0.0,4,10
phase2_group_a,mt,10,clustered,homogeneous,4,10.7066,0.122743,3.5106,0.0,3,10
phase2_group_a,mt,10,clustered,homogeneous,5,10.533,0.112719,3.5111,0.0,4,10
phase2_group_a,mt,10,clustered,homogeneous,6,10.8242,0.183677,3.8122,0.0,4,10
phase2_group_a,mt,10,clustered,homogeneous,7,11.1924,0.261304,3.8944,0.0,5,10
phase2_group_a,mt,10,clustered,homogeneous,8,11.1116,0.224207,3.7463,0.0,3,10
phase2_group_a,mt,10,clustered,homogeneous,9,11.0559,0.188279,3.6954,0.0,4,10
phase2_group_a,mt,10,clustered,homogeneous,10,11.1002,0.267262,3.9079,4.4e-05,5,10
phase2_group_a,mt,10,clustered,homogeneous,11,11.3124,0.29898,3.8267,0.0,5,10
phase2_group_a,mt,10,clustered,homogeneous,12,11.0951,0.239472,3.7445,0.0,3,10
phase2_group_a,mt,10,clustered,homogeneous,13,11.223,0.248246,3.8839,0.0,4,10
phase2_group_a,mt,10,clustered,homogeneous,14,11.0435,0.25636,3.9419,0.0,5,10
phase2_group_a,mt,10,clustered,homogeneous,15,11.1525,0.232262,3.8913,0.0,4,10
phase2_group_a,mt,10,clustered,homogeneous,16,10.8651,0.170701,3.7947,0.0,4,10
phase2_group_a,mt,10,clustered,homogeneous,17,10.8963,0.192785,3.8028,0.0,3,10
phase2_group_a,mt,10,clustered,homogeneous,18,11.1301,0.278646,3.8815,4.3e-05,5,10
phase2_group_a,mt,10,clustered,homogeneous,19,10.7816,0.136575,3.3588,0.000126,3,10
phase2_group_a,mt,10,clustered,homogeneous,20,10.8874,0.149621,3.6827,0.0,4,10
phase2_group_a,mt,20,clustered,homogeneous,1,11.554,0.206332,4.1052,0.0,7,20
phase2_group_a,mt,20,clustered,homogeneous,2,11.094,0.099,3.9797,0.0,8,20
phase2_group_a,mt,20,clustered,homogeneous,3,10.8448,0.076965,4.2009,0.0,7,20
phase2_group_a,mt,20,clustered,homogeneous,4,10.7606,0.065384,3.693,8.5e-05,6,20
phase2_group_a,mt,20,clustered,homogeneous,5,10.3969,0.052125,3.2998,0.0,4,20
phase2_group_a,mt,20,clustered,homogeneous,6,10.9969,0.10525,3.7777,0.0,6,20
phase2_group_a,mt,20,clustered,homogeneous,7,11.1247,0.164263,4.039,0.0,6,20
phase2_group_a,mt,20,clustered,homogeneous,8,11.0723,0.09704,3.8235,0.0,7,20
phase2_group_a,mt,20,clustered,homogeneous,9,10.8444,0.101152,3.5325,0.0,6,20
phase2_group_a,mt,20,clustered,homogeneous,10,11.2391,0.190035,3.775,0.0,7,20
phase2_group_a,mt,20,clustered,homogeneous,11,11.4789,0.261707,4.1927,0.0,10,20
phase2_group_a,mt,20,clustered,homogeneous,12,11.2512,0.154087,3.903,0.0,7,20
phase2_group_a,mt,20,clustered,homogeneous,13,11.2706,0.185426,4.2237,0.0,6,20
